Site,Site name,Precipitation,Plant biomass,Year,Ant species,Colony,Sampling season,Log foraging distance,Ground temperature,Log worker body mass,Plant species number at patch,Total patch mass,Total patch density,Log total patch mass,Log total patch density,Log BS (mass),Log BS (number)
Medit B,Amatzia,380,195,2007,messor semirufus,1,Early Summer,0.4771212547,25,-2.117131748,7,5.6948,1218,0.7554784764,3.085647288,-1.164128831,-2.569653353
Medit B,Amatzia,380,195,2007,messor semirufus,3,Early Summer,0.903089987,32,-2.371798521,12,6.0379,347,0.7808859159,2.540329475,-2.723455021,-2.45608473
Medit B,Amatzia,380,195,2007,messor semirufus,5,Late Summer,0.1760912591,26.5,-2.08151908,16,9.2723,414,0.9671874745,2.617000341,-2.86740127,-2.64587196
Medit B,Amatzia,380,195,2007,messor semirufus,6,Late Summer,0.4771212547,29.5,-1.956156688,11,4.9414,229,0.6938500109,2.359835482,-2.059354192,-2.249310443
Medit B,Amatzia,380,195,2007,messor semirufus,7,Late Summer,0.3979400087,29.8,-2.188170725,7,9.407,743,0.973451144,2.870988814,-2.480856395,-2.897656524
Medit B,Amatzia,380,195,2007,messor semirufus,8,Late Summer,0.6020599913,29.6,-1.925666377,10,5.6567,607,0.7525631468,2.783188691,-2.074632104,-2.49081563
Medit B,Amatzia,380,195,2007,messor semirufus,1,Late Summer,0.7781512504,24.7,-1.895254915,14,6.464,724,0.8105013478,2.859738566,-2.034499336,-2.834552675
Medit B,Amatzia,380,195,2007,messor semirufus,6,Late Summer,0.7558748557,31.4,-1.915345413,13,7.4876,620,0.8743426356,2.792391689,-2.593154048,-2.895712328
Medit B,Amatzia,380,195,2007,messor semirufus,9,Late Summer,0.6989700043,22.5,-2.099640847,9,6.842,709,0.8351830698,2.850646235,-2.911248182,-2.723454792
Medit B,Amatzia,380,195,2007,messor semirufus,10,Late Summer,0.6020599913,25.6,-1.954074787,17,4.4845,379,0.6517140284,2.57863921,-1.890517771,-2.367012969
Medit B,Amatzia,380,195,2007,messor semirufus,11,Early Fall,0.9542425094,22.5,-1.801067031,11,9.5043,260,0.9779201362,2.414973348,-2.319441231,-2.061341453
Medit B,Amatzia,380,195,2007,messor semirufus,12,Early Fall,0.6989700043,25.6,-1.882509093,12,6.6364,488,0.8219325547,2.688419822,-2.247253399,-2.651748502
Medit B,Amatzia,380,195,2007,messor semirufus,13,Early Fall,0.6989700043,31,-1.995063782,12,3.4523,272,0.5381085283,2.434568904,-1.599898597,-1.659514917
Medit B,Amatzia,380,195,2008,messor semirufus,1,Early Summer,1.021189299,23.6,-1.999546182,14,3.12694,437,0.495119548,2.640481437,-1.64814912,-2.614438945
Medit B,Amatzia,380,195,2008,messor semirufus,2,Early Summer,0.8129133566,20.9,-1.995893677,11,6.36356,465,0.8037001433,2.667452953,-1.404988209,-2.539060082
Medit B,Amatzia,380,195,2008,messor semirufus,3,Early Summer,0.9542425094,26.5,-1.832325834,11,4.85751,327,0.6864137033,2.514547753,-1.195408135,-1.864714625
Medit B,Amatzia,380,195,2008,messor semirufus,5,Early Summer,0.9542425094,26,-2.082319495,13,5.40732,246,0.7329820715,2.390935107,-1.540728649,-1.6356221
Medit B,Amatzia,380,195,2008,messor semirufus,6,Early Summer,1.113943352,21.7,-1.886143281,10,5.63629,196,0.7509933305,2.292256071,-1.466438431,-1.882229155
Medit B,Amatzia,380,195,2008,messor semirufus,7,Late Summer,0.9542425094,25.9,-2.08462312,11,4.14184,100,0.617193318,2,-1.443357483,-1.73640644
Medit B,Amatzia,380,195,2008,messor semirufus,8,Late Summer,0.84509804,28.2,-2.027166273,7,5.58982,146,0.7473978232,2.164352856,-2.003411983,-1.810570862
Medit B,Amatzia,380,195,2008,messor semirufus,9,Late Summer,0.6989700043,32.5,-1.872515393,9,5.7453,116,0.759312711,2.064457989,-1.796483427,-1.869628819
Medit B,Amatzia,380,195,2008,messor semirufus,10,Late Summer,0.6020599913,30.8,-2.127466667,9,7.73762,424,0.8886073974,2.627365857,-1.577598543,-2.457932574
Medit B,Amatzia,380,195,2008,messor semirufus,13,Late Summer,1.06069784,24.2,-2.360912129,9,3.00786,147,0.4782576183,2.167317335,-1.544439053,-1.861417706
Medit B,Amatzia,380,195,2008,messor semirufus,14,Late Summer,1.146128036,24.5,-1.924283624,3,21.30154,158,1.328411002,2.198657087,-2.582516349,-1.834740089
Medit B,Amatzia,380,195,2008,messor semirufus,15,Late Summer,1.136720567,27.7,-2.108061326,10,6.05743,210,0.7822884041,2.322219295,-1.829692305,-2.134457213
Medit B,Amatzia,380,195,2008,messor semirufus,16,Late Summer,1.041392685,29.6,-2.120488899,10,4.9628,158,0.6957267736,2.198657087,-1.105912384,-1.799552916
Medit B,Amatzia,380,195,2008,messor semirufus,17,Early Fall,0.9542425094,19.2,-2.073026484,5,4.85725,124,0.6863904569,2.093421685,-0.8143094511,-1.288417363
Medit B,Amatzia,380,195,2008,messor semirufus,18,Early Fall,0.4771212547,23.2,-2.085266048,8,4.55569,155,0.6585541641,2.190331698,-1.686057649,-2.067300268
Medit B,Amatzia,380,195,2008,messor semirufus,19,Early Fall,0.7781512504,27.2,-1.956012238,9,2.1624,86,0.3349360327,1.934498451,-1.331596246,-1.42823306
Semi-arid,Hatzerim,230,149,2007,messor arenarius,1,Early Summer,1.653212514,30,-1.506873603,4,9.2269,966,0.9650558138,2.984977126,-0.6945045074,-1.083264104
Semi-arid,Hatzerim,230,149,2007,messor arenarius,2,Early Summer,0.903089987,27.5,-1.500277035,5,7.2539,1030,0.8605715642,3.012837225,-1.930229186,-1.886093999
Semi-arid,Hatzerim,230,149,2007,messor arenarius,2,Early Summer,,27.5,-1.500277035,4,7.0481,861,0.8480720573,2.935003151,-1.807912264,-1.69679759
Semi-arid,Hatzerim,230,149,2007,messor arenarius,1,Late Summer,1.740362689,25.2,-1.289617458,6,8.4331,806,0.9259872502,2.906335042,-2.396675774,-2.602688784
Semi-arid,Hatzerim,230,149,2007,messor arenarius,1,Late Summer,1.146128036,26.5,-1.467906812,5,8.6418,970,0.9366042111,2.986771734,-0.8385433119,-0.6405192896
Semi-arid,Hatzerim,230,149,2007,messor arenarius,2,Late Summer,1,30.5,-1.38329318,6,8.99535,714,0.954018066,2.853698212,-2.166606475,-1.960469965
Semi-arid,Hatzerim,230,149,2007,messor ebeninus,3,Late Summer,1.041392685,17.6,-1.955626895,5,9.33315,813,0.9700282458,2.910090546,-3.136921127,-2.36654427
Semi-arid,Hatzerim,230,149,2007,messor arenarius,1,Early Fall,1.361727836,25,-1.39691079,4,5.5573,576,0.744863842,2.760422483,-2.601371746,-2.696355187
Semi-arid,Hatzerim,230,149,2007,messor ebeninus,2,Early Fall,1.361727836,32,-2.130043672,5,5.3761,770,0.7304673384,2.886490725,-3.138333588,-2.424431275
Semi-arid,Hatzerim,230,149,2007,messor ebeninus,3,Early Fall,0.7634279936,30,-1.946447781,2,10.60155,767,1.025369366,2.884795364,-3.903541888,-2.458964838
Semi-arid,Hatzerim,230,149,2007,messor arenarius,1,Early Fall,1.40654018,26.8,-1.357417692,7,14.11,874,1.149527014,2.941511433,-2.017127233,-2.394185953
Semi-arid,Hatzerim,230,149,2007,messor arenarius,2,Early Fall,1.029383778,27.7,-1.438878215,4,15.00955,974,1.176367672,2.988558957,-0.8154844174,-2.183963231
Semi-arid,Hatzerim,230,149,2008,messor arenarius,2,Early Summer,0.6020599913,35,-1.441946304,6,8.41206,931,0.9249023617,2.968949681,-1.007526726,-1.276602522
Semi-arid,Hatzerim,230,149,2008,messor arenarius,3,Early Summer,1.113943352,26.3,-1.404043945,8,5.62215,668,0.7499024285,2.824776462,-3.063254093,-0.7864304867
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,4,Early Summer,0.9542425094,31,-2.140192216,9,5.55929,649,0.7450193296,2.812244697,-3.649159109,-2.297674258
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,5,Early Summer,1.447158031,24.4,-1.947113765,10,6.15319,595,0.7891003256,2.774516966,-1.830954131,-2.449834043
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,5,Late Summer,0.903089987,28.3,-2.083546051,7,2.00306,222,0.3016939584,2.346352974,-2.784568928,-1.651942853
Semi-arid,Hatzerim,230,149,2008,messor arenarius,6,Late Summer,0.9542425094,26.8,-1.374183073,5,7.44615,757,0.8719317807,2.87909588,-2.427126075,-1.755812964
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,10,Late Summer,0.7781512504,26,-2.033262777,7,6.06087,384,0.7825349689,2.584331224,-2.377107288,-2.451915617
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,11,Late Summer,1.462397998,27.7,-2.124315595,5,11.41346,818,1.057417321,2.912753304,-2.629943835,-1.829074322
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,17,Early Fall,1.439332694,25,-2.141855288,2,6.01421,490,0.7791785884,2.69019608,-4.05873013,-1.824089648
Semi-arid,Hatzerim,230,149,2008,messor ebeninus,18,Early Fall,1.342422681,30.5,-2.243656512,2,15.71775,686,1.196390377,2.836324116,-1.81631056,-1.503314095
Medit A,Lahav,300,198,2007,messor semirufus,1,Early Summer,0.3979400087,33.5,-2.307113441,14,3.15235,483,0.4986344305,2.683947131,-2.272173861,-2.690531446
Medit A,Lahav,300,198,2007,messor semirufus,2,Early Summer,0.3010299957,37,-2.119074763,7,6.0708,803,0.7832459255,2.904715545,-3.109807088,-2.319444222
Medit A,Lahav,300,198,2007,messor semirufus,4,Early Summer,0.7781512504,39,-2.185141691,10,4.2171,821,0.6250138996,2.914343157,-2.60762845,-3.073841807
Medit A,Lahav,300,198,2007,messor semirufus,1,Late Summer,0.6020599913,23.2,-2.219181918,12,3.7527,312,0.5743438472,2.494154594,-1.409505863,-2.071868441
Medit A,Lahav,300,198,2007,messor semirufus,2,Late Summer,0.3979400087,29.5,-2.073454141,16,7.87261,755,0.8961187375,2.877946952,-1.373225709,-2.625442089
Medit A,Lahav,300,198,2007,messor semirufus,5,Late Summer,1.217483944,22,-2.110082988,12,4.8085,505,0.6820096204,2.703291378,-2.39949474,-2.787621135
Medit A,Lahav,300,198,2007,messor semirufus,6,Late Summer,0.6532125138,28.5,-1.814251937,4,5.16325,280,0.7129231537,2.447158031,-1.099221399,-1.229782979
Medit A,Lahav,300,198,2007,messor semirufus,5,Early Fall,1.06069784,26.7,-2.038320637,10,3.4848,586,0.5421778581,2.767897616,-1.738251136,-2.332502593
Medit A,Lahav,300,198,2007,messor semirufus,6,Early Fall,1.176091259,24.1,-1.966726142,12,4.5378,422,0.6568453508,2.625312451,-2.52487151,-1.779198536
Medit A,Lahav,300,198,2007,messor semirufus,7,Early Fall,0.6989700043,21.7,-1.888889718,11,11.504,461,1.060848873,2.663700925,-2.662297003,-1.75358841
Medit A,Lahav,300,198,2007,messor semirufus,8,Early Fall,0.7403626895,25.5,-1.948885967,11,6.3616,337,0.8035663584,2.527629901,-1.398794629,-2.026934477
Medit A,Lahav,300,198,2008,messor semirufus,1,Early Summer,0.9444826722,25,-1.979996743,10,3.420463,1021,0.5340848969,3.009025742,-1.92706816,-1.788015229
Medit A,Lahav,300,198,2008,messor semirufus,2,Early Summer,1.352182518,18,-2.103198302,9,4.93766,1223,0.6935211817,3.087426457,-1.682880255,-2.912003972
Medit A,Lahav,300,198,2008,messor semirufus,3,Early Summer,0.6989700043,34,-2.23352246,3,6.32739,342,0.8012246038,2.534026106,-1.28579191,-1.542600074
Medit A,Lahav,300,198,2008,messor semirufus,4,Early Summer,0.9294189257,32.5,-2.094592731,11,2.33295,1416,0.3679054311,3.151063253,-1.664383836,-2.71999834
Medit A,Lahav,300,198,2008,messor semirufus,5,Early Summer,0.5682017241,30.7,-1.985244317,2,5.01685,142,0.7004311161,2.152288344,-1.351142105,-1.24761901
Medit A,Lahav,300,198,2008,messor semirufus,6,Early Summer,0.8129133566,30,-2.159076106,2,10.86138,684,1.035885008,2.835056102,-2.641883854,-2.31765949
Medit A,Lahav,300,198,2008,messor semirufus,7,Late Summer,1.079181246,26.5,-1.989333931,15,4.32201,1322,0.6356857674,3.121231455,-1.622952271,-3.301076902
Medit A,Lahav,300,198,2008,messor semirufus,8,Late Summer,0.6989700043,25.8,-1.901411646,6,7.07182,797,0.849531198,2.901458321,-2.311736125,-1.623186672
Medit A,Lahav,300,198,2008,messor semirufus,13,Late Summer,0.6989700043,29.5,-2.25363658,9,1.75854,126,0.2451522513,2.100370545,-0.8421532009,-1.51917547
Medit A,Lahav,300,198,2008,messor semirufus,15,Late Summer,0.84509804,22.5,-2.074338035,8,4.23591,575,0.6269467241,2.759667845,-2.271855054,-2.018155399
Medit A,Lahav,300,198,2008,messor semirufus,16,Late Summer,0.6532125138,25.6,-2.018826339,7,5.9669,305,0.7757487595,2.484299839,-1.663891967,-1.758885937
Medit A,Lahav,300,198,2008,messor semirufus,17,Early Fall,0.5440680444,22.9,-2.186499073,3,9.26446,299,0.9668201106,2.475671188,-3.387812914,-2.191430325
Medit A,Lahav,300,198,2008,messor semirufus,19,Early Fall,1,25.6,-1.930189652,6,6.1986,154,0.7922936119,2.187520721,-1.863146946,-2.107430383
Medit A,Lahav,300,198,2008,messor semirufus,20,Early Fall,1.033423755,26.4,-1.898042392,8,3.63127,122,0.5600585417,2.086359831,-1.272878609,-1.849081934
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,1,Early Summer,0.1760912591,26,-2.118577736,12,3.5244,287,0.5470851926,2.457881897,-1.749517591,-2.210218403
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,2,Early Summer,0.7403626895,25,-2.053298824,11,7.2174,577,0.8583807753,2.761175813,-2.447668036,-2.83110229
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,5,Late Summer,1.130333768,27.8,-2.128517085,10,10.1456,509,1.006277736,2.706717782,-2.642442849,-2.313512364
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,6,Late Summer,0.7781512504,25.8,-2.001971126,7,4.7418,183,0.6759432323,2.26245109,-2.098704474,-2.105056492
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,7,Late Summer,0.9777236053,23.5,-1.85412129,8,3.4036,334,0.531938515,2.523746467,-1.379377891,-2.132404128
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,5,Late Summer,1.021189299,28,-2.146726376,10,10.4412,508,1.018750415,2.705863712,-2.358514189,-2.372603416
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,6,Late Summer,0.7781512504,27.5,-1.909763468,7,5.0896,193,0.7066836518,2.285557309,-1.588570398,-1.895118447
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,7,Late Summer,1.096910013,25,-1.820832063,10,3.4146,327,0.533339836,2.514547753,-1.791555795,-2.271286268
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,9,Late Summer,0.8129133566,28.5,-1.810250675,7,3.2577,381,0.5129110878,2.580924976,-1.253052102,-1.696686008
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,10,Late Summer,0.3979400087,26,-1.795236409,8,4.1031,130,0.6131121016,2.113943352,-0.9926875537,-1.263728043
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,11,Late Summer,0.7634279936,24.7,-1.777550559,11,4.9311,366,0.6929438099,2.563481085,-1.811113908,-2.301172728
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,12,Late Summer,0.9637878273,27,-1.790402397,12,3.5004,216,0.5441176752,2.334453751,-1.905001993,-2.332353012
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,12,Early Fall,1.079181246,27.9,-1.818020716,9,6.4527,485,0.8097414743,2.685741739,-1.231740136,-1.953409832
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,13,Early Fall,0.9777236053,26,-1.806668382,8,7.0213,200,0.8464175296,2.301029996,-1.524363164,-1.966052994
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,14,Early Fall,0.9294189257,26.2,-1.907484624,11,4.2775,477,0.6311900182,2.678518379,-2.030651474,-1.818935583
Mesic-Medit,Ramot-Menashe,600,370,2007,messor semirufus,15,Early Fall,0.9138138524,26.5,-1.783977954,8,3.3906,206,0.5302765577,2.31386722,-1.735761142,-2.289070511
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,1,Early Summer,0.7403626895,20.2,-2.011641739,14,5.56411,596,0.7453957072,2.77524626,-1.880275781,-2.529596566
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,2,Early Summer,0.9542425094,20.9,-2.044487157,13,4.96186,288,0.6956445064,2.459392488,-1.807178288,-2.281558103
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,3,Early Summer,0.9777236053,23.4,-1.991148308,8,7.88402,424,0.8967477173,2.627365857,-2.237344914,-2.343619071
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,4,Early Summer,0.9294189257,30,-2.037544572,14,5.7246,370,0.7577451462,2.568201724,-2.162969243,-2.344019256
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,5,Early Summer,0.6532125138,26.4,-1.902395671,10,7.43504,316,0.8712833093,2.499687083,-1.920505126,-2.125036724
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,6,Early Summer,0.6020599913,26.7,-2.086957175,9,3.26889,198,0.5144003066,2.29666519,-1.812368013,-2.199278799
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,7,Early Summer,0.8750612634,30.7,-1.999132278,13,4.04477,403,0.6068938311,2.605305046,-1.745550152,-2.231831886
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,8,Late Summer,0.9777236053,29.4,-1.941162919,7,4.89816,325,0.6900329674,2.511883361,-1.694581492,-1.690339412
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,9,Late Summer,0.9294189257,26.8,-1.845537986,9,4.92636,174,0.6925261453,2.240549248,-1.492023284,-1.838889116
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,10,Late Summer,0.7781512504,26.6,-1.951452277,12,3.64281,171,0.5614365201,2.23299611,-1.616459511,-1.869436567
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,11,Late Summer,1,26.5,-1.920325531,11,4.22172,648,0.6254894259,2.811575006,-1.868868859,-2.293088407
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,13,Late Summer,0.84509804,28,-1.915581026,9,3.63829,181,0.5608973128,2.257678575,-1.644480113,-2.04446974
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,14,Late Summer,0.9294189257,30,-2.03331398,5,8.81016,233,0.9449837956,2.367355921,-2.375794351,-1.642000337
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,15,Late Summer,1.130333768,34.7,-1.996108834,14,4.53534,840,0.6566098503,2.924279286,-2.029477814,-2.705263141
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,17,Early Fall,1.146128036,24,-2.076019084,11,3.10501,312,0.4920630032,2.494154594,-1.680222709,-2.436041927
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,18,Early Fall,1.021189299,23.4,-2.002701008,11,3.03102,203,0.481588802,2.307496038,-1.951794714,-2.190358619
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,19,Early Fall,1.079181246,25.2,-2.036382147,11,5.75954,269,0.7603877988,2.42975228,-1.733163371,-1.890429754
Mesic-Medit,Ramot-Menashe,600,370,2008,messor semirufus,20,Early Fall,1.06069784,27.5,-2.054428861,12,2.26572,283,0.3552062383,2.451786436,-1.558073093,-2.217654243
Arid,Sede-Boker,100,65,2007,messor arenarius,1,Early Summer,1.041392685,23.5,-1.468646574,2,5.6608,770,0.7528778112,2.886490725,-0.1815966225,-0.2532983926
Arid,Sede-Boker,100,65,2007,messor arenarius,1,Late Summer,1,22,-1.501267104,3,6.4133,854,0.8070815557,2.931457871,-1.551781987,-0.7570223622
Arid,Sede-Boker,100,65,2007,messor ebeninus,1,Early Fall,0.3979400087,26,-2.494382321,4,1.4097,219,0.1491266997,2.340444115,-0.3339824099,-0.1559860503
Arid,Sede-Boker,100,65,2007,messor ebeninus,2,Early Fall,0.6989700043,28.2,-2.279381332,3,4.1816,453,0.6213424871,2.656098202,-0.2097199969,-0.1711105242
Arid,Sede-Boker,100,65,2007,messor ebeninus,3,Early Fall,0.84509804,29.9,-2.406878043,5,7.7684,681,0.8903315796,2.833147112,-0.3838704452,-0.3560173547
Arid,Sede-Boker,100,65,2007,messor ebeninus,4,Early Fall,1.477121255,20.1,-1.949330295,8,11.1342,601,1.046659018,2.778874472,-1.172784948,-2.580336301
Arid,Sede-Boker,100,65,2007,messor ebeninus,1,Late Summer,1.146128036,24,-2.102914575,2,4.97552,808,0.6968384763,2.907411361,-1.631424995,-1.847023874
Arid,Sede-Boker,100,65,2007,messor ebeninus,2,Late Summer,1.301029996,24,-2.050452944,7,9.1214,1252,0.9600615012,3.097604329,-0.7704826987,-0.7037912627
Arid,Sede-Boker,100,65,2007,messor ebeninus,3,Late Summer,0.591064607,26.5,-2.02683976,7,16.5082,1850,1.217699722,3.267171728,-3.240304966,-0.6625972586
Arid,Sede-Boker,100,65,2007,messor arenarius,4,Early Fall,1.230448921,23,-1.391764998,8,14.7881,1064,1.169912379,3.026941628,-2.037249202,-2.748146024
Arid,Sede-Boker,100,65,2008,messor ebeninus,1,Early Summer,0.7781512504,20,-2.257274869,4,2.73275,343,0.436599903,2.53529412,-2.355185185,-1.848604957
Arid,Sede-Boker,100,65,2008,messor arenarius,2,Early Summer,1.204119983,22.4,-1.40241011,6,2.62948,309,0.4198698719,2.489958479,-2.601356483,-2.046912027
Arid,Sede-Boker,100,65,2008,messor ebeninus,5,Late Summer,0.6989700043,21.6,-2.263984808,5,3.36499,468,0.5269837779,2.670245853,-3.697286039,-2.208151238
Arid,Sede-Boker,100,65,2008,messor arenarius,6,Late Summer,0.903089987,28.1,-1.311242129,6,5.4012,632,0.732490259,2.800717078,-2.558110928,-2.674247756